4/30/2015,"Deep Valley, Undulating Mountain"
5/1/2015,"Deep Valley, Undulating Mountain"
5/2/2015,"Deep Valley, Undulating Mountain"
5/3/2015,"Shallow valley, Steep Mountain"
5/4/2015,"Shallow valley, Steep Mountain"
5/5/2015,"Steep Mountain, Plain"
5/6/2015,"Deep Valley, Undulating Mountain"
5/7/2015,"Deep Valley, Undulating Mountain"
5/8/2015,"Deep Valley, Undulating Mountain"
5/9/2015,"Deep Valley, Gradual Mountain"
5/10/2015,"Deep Valley, Gradual Mountain"
5/11/2015,"Deep Pool, Shallow Mountain"
5/12/2015,Flash sale
5/13/2015,"Deep Valley, Undulating Mountain"
5/14/2015,"Deep Valley, Undulating Mountain"
5/15/2015,"Deep Valley, Undulating Mountain"
5/16/2015,"Deep Valley, Undulating Mountain"
5/17/2015,"Shallow valley, Steep Mountain"
5/18/2015,NULL
5/19/2015,"Deep Valley, Undulating Mountain"
5/20/2015,"Deep Valley, Undulating Mountain"
5/21/2015,"Deep Valley, Undulating Mountain"
5/22/2015,"Deep Valley, Undulating Mountain"
5/23/2015,"Deep Valley, Undulating Mountain"
5/24/2015,"Deep Valley, Undulating Mountain"
5/25/2015,"Shallow valley, Steep Mountain"
5/26/2015,"Steep Mountain, Plain"
5/27/2015,"Deep Valley, Undulating Mountain"
5/28/2015,"Deep Valley, Undulating Mountain"
5/29/2015,"Deep Valley, Undulating Mountain"
5/30/2015,"Deep Valley, Undulating Mountain"
5/31/2015,"Deep Valley, Gradual Mountain"
6/1/2015,Error day
6/2/2015,"Deep Valley, Undulating Mountain"
6/3/2015,"Deep Valley, Undulating Mountain"
6/4/2015,Error day
6/5/2015,"Deep Valley, Undulating Mountain"
6/6/2015,"Deep Valley, Undulating Mountain"
6/7/2015,"Shallow valley, Steep Mountain"
6/8/2015,"Steep Mountain, Plain"
6/9/2015,Flash sale
6/10/2015,"Deep Valley, Undulating Mountain"
6/11/2015,"Deep Valley, Undulating Mountain"
6/12/2015,"Deep Valley, Undulating Mountain"
6/13/2015,Error day
6/14/2015,"Shallow valley, Steep Mountain"
6/15/2015,"Steep Mountain, Plain"
6/16/2015,"Deep Valley, Undulating Mountain"
6/17/2015,"Deep Valley, Undulating Mountain"
6/18/2015,"Deep Valley, Undulating Mountain"
